Type,Proper Noun ,Description
Fab,DDR Ratio,不良ダイ比率: ウェーハの不良の指標であり、この基準で製品の廃棄を判断します。これらの不良は製品の歩留まりに影響を与えます。
Fab,EC,設備の設定値: 一部はプロセスに応じて変更可能ですが、例えば温度などの固定値は変更できません。設備を返却する前に、ECがマスターと一致しているか必ず確認してください。
Fab,ECS,設備定数システム: 設備パラメータの変更による製品廃棄のリスクを防ぐもので、設備エンジニアのRMSに相当します。
Fab,ECCP,エンジニアリング変更認証計画
Fab,ECN,エンジニア変更通知
Fab,Emergency stop,緊急停止
Fab,Alignment mark,基準点のマーキング: ウェーハ上の特定の非対称で重複のない位置を基準点として機械が自動で認識します。
Fab,ALP,アクティブロードポート (ALP): 機械の2つのポートが満杯になると、3番目のロットがALPに送られます。ポートの貨物がなくなると、ALPのアームが貨物を機械に運びます。
Fab,STB,ビルド開始、ウェーハオフライン
Fab,STK,ストッカー収納キャビネット
Fab,Route,プロセスフロー
Fab,Scrap,廃棄
Fab,Sorter,ソーティングマシン
Fab,Split,会計分割・バッチ分割
Fab,夜勤,夜勤
Fab,準夜勤,準夜勤
Fab,日勤,日勤
Fab,マスク,フォトマスク
IT,DP ,データプラットフォーム: 各種システムログを収集し異常を分析するプラットフォームです。
IT,SGP,セキュアGenAIプラットフォーム: 安全なAIサービスを提供します。
IT,ETP,エンタープライズ翻訳プラットフォーム: 安全でリアルタイムな翻訳サービスを提供し、会議記録やクエリ機能を含みます。
GCP,Cloud Run,Cloud Run: 完全管理型プラットフォームで、開発者はコンテナ化されたアプリケーションを実行できます。トラフィックに応じて自動でスケーリングし、HTTP駆動のマイクロサービスのデプロイに適しています。
GCP,Cloud Function,Cloud Function: サーバーレスの計算サービスで、開発者は簡単な単一目的の関数をイベントに基づき自動で実行できます。サーバーインフラの管理は不要です。
GCP,BigQuery,BigQuery: サーバーレスの大規模データウェアハウスサービスで、迅速なSQLクエリが可能です。大規模データセットの分析に適しており、リアルタイム分析をサポートします。
GCP,Pub/Sub,Pub/Sub: メッセージ伝達サービスで、アプリケーション間での信頼性と拡張性のある非同期通信を可能にし、イベント駆動のアーキテクチャやストリーミングデータ処理をサポートします。
GCP,Cloud SQL,Cloud SQL: 完全管理型のリレーショナルデータベースサービスで、MySQL、PostgreSQL、SQL Serverをサポートし、容易に設定、維持、管理が可能です。
GCP,Artifact Registry,Artifact Registry: コンテナイメージやパッケージ、その他のアーティファクトを管理するサービスで、安全なストレージとバージョン管理を提供します。
GCP,Cloud Storage,Cloud Storage: グローバルなオブジェクトストレージシステムで、高可用性、耐久性、安全性を提供し、あらゆる種類のデータの保存と取得に適しています。
GCP,GKE,Google Kubernetes Engine: 管理されたKubernetesサービスで、Kubernetesクラスタの管理を簡素化し、コンテナ化されたアプリケーションのデプロイ、管理、スケーリングを容易にします。
GCP,Vertex AI,Vertex AI: 統合された機械学習プラットフォームで、データ準備、トレーニングからデプロイまでの全ツールを提供し、自動化された機械学習とカスタムモデルの開発をサポートします。
